"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2876","Correct logout of account","User Management","Wed Sep 17 13:09:40 UTC 2025","passed","Wed Sep 17 13:09:42 UTC 2025","Successful logout","Logout","",""
"","4028","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Wed Sep 17 13:10:22 UTC 2025","passed","Wed Sep 17 13:10:26 UTC 2025","Add product","Cart operations","",""
"","3289","Search products with a search query: ""top""","Product Catalog","Wed Sep 17 13:12:25 UTC 2025","passed","Wed Sep 17 13:12:28 UTC 2025","TestProductSearch","Product Search","",""
"","8231","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Wed Sep 17 13:11:31 UTC 2025","passed","Wed Sep 17 13:11:39 UTC 2025","TestCheckout","Checkout","",""
"","2149","Check the visibility of all product cards from the list","Product Catalog","Wed Sep 17 13:12:05 UTC 2025","passed","Wed Sep 17 13:12:07 UTC 2025","View product list","Product Listing","",""
"","7901","Registration while checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 13:10:55 UTC 2025","passed","Wed Sep 17 13:11:03 UTC 2025","TestCheckout","Checkout","",""
"","8960","Login before checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 13:11:12 UTC 2025","passed","Wed Sep 17 13:11:20 UTC 2025","TestCheckout","Checkout","",""
"","5849","Checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 13:10:48 UTC 2025","passed","Wed Sep 17 13:10:54 UTC 2025","Successful checkout","Checkout","",""
"","1191","User login with wrong email and password","User Management","Wed Sep 17 13:09:53 UTC 2025","passed","Wed Sep 17 13:09:54 UTC 2025","Failed authorization","Authorization","",""
"","4288","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Wed Sep 17 13:10:12 UTC 2025","passed","Wed Sep 17 13:10:17 UTC 2025","Add product","Cart operations","",""
"","1369","Checking event subscriptions on the home page","interactions","Wed Sep 17 13:12:20 UTC 2025","passed","Wed Sep 17 13:12:22 UTC 2025","Home subscription","Subscription","",""
"","873","Registration with existing email","User Management","Wed Sep 17 13:09:58 UTC 2025","passed","Wed Sep 17 13:09:59 UTC 2025","Failed registration","Registration","",""
"","37348","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Wed Sep 17 13:11:41 UTC 2025","broken","Wed Sep 17 13:12:19 UTC 2025","TestCheckout","Checkout","",""
"","1347","Checking event subscriptions on the home page","interactions","Wed Sep 17 13:11:42 UTC 2025","passed","Wed Sep 17 13:11:44 UTC 2025","Home subscription","Subscription","",""
"","2998","User login with correct email and password","User Management","Wed Sep 17 13:09:43 UTC 2025","passed","Wed Sep 17 13:09:46 UTC 2025","Successful authorization","Authorization","",""
"","6279","Registration with correct data","User Management","Wed Sep 17 13:09:50 UTC 2025","passed","Wed Sep 17 13:09:57 UTC 2025","Successful registration","Registration","",""
"","8157","Login before checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 13:11:01 UTC 2025","passed","Wed Sep 17 13:11:09 UTC 2025","TestCheckout","Checkout","",""
"","3430","User login with correct email and password","User Management","Wed Sep 17 13:09:37 UTC 2025","passed","Wed Sep 17 13:09:41 UTC 2025","Successful authorization","Authorization","",""
"","762","User login with wrong email and password","User Management","Wed Sep 17 13:09:47 UTC 2025","passed","Wed Sep 17 13:09:48 UTC 2025","Failed authorization","Authorization","",""
"","4940","Search products with a search query: ""top""","Product Catalog","Wed Sep 17 13:12:28 UTC 2025","passed","Wed Sep 17 13:12:33 UTC 2025","TestProductSearch","Product Search","",""
