"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37856","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Wed Sep 17 12:26:00 UTC 2025","broken","Wed Sep 17 12:26:37 UTC 2025","TestCheckout","Checkout","",""
"","948","Registration with existing email","User Management","Wed Sep 17 12:24:50 UTC 2025","passed","Wed Sep 17 12:24:51 UTC 2025","Failed registration","Registration","",""
"","3784","Checking the success of sending a feedback","interactions","Wed Sep 17 12:26:03 UTC 2025","passed","Wed Sep 17 12:26:07 UTC 2025","Successful feedback","Contact","",""
"","1674","Checking the success of sending a feedback","interactions","Wed Sep 17 12:25:59 UTC 2025","passed","Wed Sep 17 12:26:01 UTC 2025","Successful feedback","Contact","",""
"","4890","Checking remove product from cart","Shopping cart","Wed Sep 17 12:24:55 UTC 2025","passed","Wed Sep 17 12:25:00 UTC 2025","Remove product","Cart operations","",""
"","2713","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Wed Sep 17 12:25:09 UTC 2025","passed","Wed Sep 17 12:25:11 UTC 2025","Add product","Cart operations","",""
"","529","Checking event subscriptions on the cart page","interactions","Wed Sep 17 12:26:16 UTC 2025","passed","Wed Sep 17 12:26:17 UTC 2025","Cart subscription","Subscription","",""
"","5426","Checking the identity of the cart before and after logging","Shopping cart","Wed Sep 17 12:25:08 UTC 2025","passed","Wed Sep 17 12:25:13 UTC 2025","Cart consistent","Cart State","",""
"","1892","Registration with existing email","User Management","Wed Sep 17 12:24:54 UTC 2025","passed","Wed Sep 17 12:24:56 UTC 2025","Failed registration","Registration","",""
"","1270","User login with wrong email and password","User Management","Wed Sep 17 12:24:27 UTC 2025","passed","Wed Sep 17 12:24:29 UTC 2025","Failed authorization","Authorization","",""
"","6975","Login before checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:43 UTC 2025","passed","Wed Sep 17 12:25:50 UTC 2025","TestCheckout","Checkout","",""
"","6070","Login before checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:26:07 UTC 2025","passed","Wed Sep 17 12:26:13 UTC 2025","TestCheckout","Checkout","",""
"","2239","User login with wrong email and password","User Management","Wed Sep 17 12:24:47 UTC 2025","passed","Wed Sep 17 12:24:49 UTC 2025","Failed authorization","Authorization","",""
"","12254","Registration while checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:29 UTC 2025","passed","Wed Sep 17 12:25:42 UTC 2025","TestCheckout","Checkout","",""
"","3843","Check the visibility of all product cards from the list","Product Catalog","Wed Sep 17 12:26:26 UTC 2025","passed","Wed Sep 17 12:26:30 UTC 2025","View product list","Product Listing","",""
"","3198","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Wed Sep 17 12:24:50 UTC 2025","passed","Wed Sep 17 12:24:53 UTC 2025","Add product","Cart operations","",""
"","1787","Check the visibility of all product cards from the list","Product Catalog","Wed Sep 17 12:26:23 UTC 2025","passed","Wed Sep 17 12:26:25 UTC 2025","View product list","Product Listing","",""
"","4908","Search products with a search query: ""top""","Product Catalog","Wed Sep 17 12:26:38 UTC 2025","passed","Wed Sep 17 12:26:43 UTC 2025","TestProductSearch","Product Search","",""
"","1512","Check product details with id 1","Product Catalog","Wed Sep 17 12:26:24 UTC 2025","passed","Wed Sep 17 12:26:26 UTC 2025","View product details","Product Details","",""
"","7101","Checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:20 UTC 2025","passed","Wed Sep 17 12:25:27 UTC 2025","Successful checkout","Checkout","",""
"","2556","Adding a review to a product with an id 1","Product Catalog","Wed Sep 17 12:26:31 UTC 2025","passed","Wed Sep 17 12:26:34 UTC 2025","Add product review","Product Review","",""
"","5991","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Wed Sep 17 12:24:56 UTC 2025","passed","Wed Sep 17 12:25:02 UTC 2025","Add product","Cart operations","",""
"","2913","Correct logout of account","User Management","Wed Sep 17 12:24:42 UTC 2025","passed","Wed Sep 17 12:24:45 UTC 2025","Successful logout","Logout","",""
"","3516","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Wed Sep 17 12:25:21 UTC 2025","passed","Wed Sep 17 12:25:25 UTC 2025","Add product","Cart operations","",""
"","10046","Registration while checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:28 UTC 2025","passed","Wed Sep 17 12:25:38 UTC 2025","TestCheckout","Checkout","",""
"","9957","Registration with correct data","User Management","Wed Sep 17 12:24:28 UTC 2025","passed","Wed Sep 17 12:24:38 UTC 2025","Successful registration","Registration","",""
"","5121","User login with correct email and password","User Management","Wed Sep 17 12:24:32 UTC 2025","passed","Wed Sep 17 12:24:37 UTC 2025","Successful authorization","Authorization","",""
"","1959","Check the correct operation of the scroll to the top of the page","Navigation","Wed Sep 17 12:26:18 UTC 2025","passed","Wed Sep 17 12:26:20 UTC 2025","Scroll to top","Scroll","",""
"","4024","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Wed Sep 17 12:25:04 UTC 2025","passed","Wed Sep 17 12:25:08 UTC 2025","Add product","Cart operations","",""
"","6406","Registration with correct data","User Management","Wed Sep 17 12:24:46 UTC 2025","passed","Wed Sep 17 12:24:52 UTC 2025","Successful registration","Registration","",""
"","2618","Check product details with id 1","Product Catalog","Wed Sep 17 12:26:20 UTC 2025","passed","Wed Sep 17 12:26:23 UTC 2025","View product details","Product Details","",""
"","1316","Check product details with id 1","Product Catalog","Wed Sep 17 12:26:21 UTC 2025","passed","Wed Sep 17 12:26:22 UTC 2025","View product details","Product Details","",""
"","2238","Search products with a search query: ""top""","Product Catalog","Wed Sep 17 12:26:33 UTC 2025","passed","Wed Sep 17 12:26:36 UTC 2025","TestProductSearch","Product Search","",""
"","10272","Login before checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:54 UTC 2025","passed","Wed Sep 17 12:26:04 UTC 2025","TestCheckout","Checkout","",""
"","7066","Checking the identity of the cart before and after logging","Shopping cart","Wed Sep 17 12:25:28 UTC 2025","passed","Wed Sep 17 12:25:35 UTC 2025","Cart consistent","Cart State","",""
"","5480","Checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:00 UTC 2025","passed","Wed Sep 17 12:25:05 UTC 2025","Successful checkout","Checkout","",""
"","5351","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Wed Sep 17 12:25:14 UTC 2025","passed","Wed Sep 17 12:25:19 UTC 2025","Add product","Cart operations","",""
"","868","User login with wrong email and password","User Management","Wed Sep 17 12:24:44 UTC 2025","passed","Wed Sep 17 12:24:45 UTC 2025","Failed authorization","Authorization","",""
"","1665","Checking the success of sending a feedback","interactions","Wed Sep 17 12:26:08 UTC 2025","passed","Wed Sep 17 12:26:10 UTC 2025","Successful feedback","Contact","",""
"","6495","Search products with a search query: ""top""","Product Catalog","Wed Sep 17 12:26:38 UTC 2025","passed","Wed Sep 17 12:26:44 UTC 2025","TestProductSearch","Product Search","",""
"","1062","Checking event subscriptions on the home page","interactions","Wed Sep 17 12:26:14 UTC 2025","passed","Wed Sep 17 12:26:15 UTC 2025","Home subscription","Subscription","",""
"","2772","User login with correct email and password","User Management","Wed Sep 17 12:24:40 UTC 2025","passed","Wed Sep 17 12:24:43 UTC 2025","Successful authorization","Authorization","",""
"","9582","Checking the identity of the cart before and after logging","Shopping cart","Wed Sep 17 12:25:16 UTC 2025","passed","Wed Sep 17 12:25:25 UTC 2025","Cart consistent","Cart State","",""
"","8697","Checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:08 UTC 2025","passed","Wed Sep 17 12:25:17 UTC 2025","Successful checkout","Checkout","",""
"","2920","Check the visibility of all product cards from the list","Product Catalog","Wed Sep 17 12:26:27 UTC 2025","passed","Wed Sep 17 12:26:29 UTC 2025","View product list","Product Listing","",""
"","1111","Checking event subscriptions on the cart page","interactions","Wed Sep 17 12:26:12 UTC 2025","passed","Wed Sep 17 12:26:13 UTC 2025","Cart subscription","Subscription","",""
"","6496","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Wed Sep 17 12:25:36 UTC 2025","passed","Wed Sep 17 12:25:42 UTC 2025","TestCheckout","Checkout","",""
"","10068","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Wed Sep 17 12:25:46 UTC 2025","passed","Wed Sep 17 12:25:56 UTC 2025","TestCheckout","Checkout","",""
"","2868","User login with correct email and password","User Management","Wed Sep 17 12:24:27 UTC 2025","passed","Wed Sep 17 12:24:30 UTC 2025","Successful authorization","Authorization","",""
"","15406","Registration while checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:25:41 UTC 2025","passed","Wed Sep 17 12:25:56 UTC 2025","TestCheckout","Checkout","",""
"","2556","Correct logout of account","User Management","Wed Sep 17 12:24:29 UTC 2025","passed","Wed Sep 17 12:24:32 UTC 2025","Successful logout","Logout","",""
"","1309","Registration with existing email","User Management","Wed Sep 17 12:24:58 UTC 2025","passed","Wed Sep 17 12:24:59 UTC 2025","Failed registration","Registration","",""
"","1119","Check the correct operation of the scroll to the top of the page","Navigation","Wed Sep 17 12:26:17 UTC 2025","passed","Wed Sep 17 12:26:18 UTC 2025","Scroll to top","Scroll","",""
"","4436","Checking remove product from cart","Shopping cart","Wed Sep 17 12:25:02 UTC 2025","passed","Wed Sep 17 12:25:06 UTC 2025","Remove product","Cart operations","",""
"","514","Checking event subscriptions on the cart page","interactions","Wed Sep 17 12:26:14 UTC 2025","passed","Wed Sep 17 12:26:15 UTC 2025","Cart subscription","Subscription","",""
"","1516","Adding a review to a product with an id 1","Product Catalog","Wed Sep 17 12:26:35 UTC 2025","passed","Wed Sep 17 12:26:37 UTC 2025","Add product review","Product Review","",""
"","8014","Registration with correct data","User Management","Wed Sep 17 12:24:41 UTC 2025","passed","Wed Sep 17 12:24:49 UTC 2025","Successful registration","Registration","",""
"","1346","Checking event subscriptions on the home page","interactions","Wed Sep 17 12:26:38 UTC 2025","passed","Wed Sep 17 12:26:40 UTC 2025","Home subscription","Subscription","",""
"","1337","Adding a review to a product with an id 1","Product Catalog","Wed Sep 17 12:26:31 UTC 2025","passed","Wed Sep 17 12:26:33 UTC 2025","Add product review","Product Review","",""
"","5083","Correct logout of account","User Management","Wed Sep 17 12:24:35 UTC 2025","passed","Wed Sep 17 12:24:40 UTC 2025","Successful logout","Logout","",""
"","826","Check the correct operation of the scroll to the top of the page","Navigation","Wed Sep 17 12:26:15 UTC 2025","passed","Wed Sep 17 12:26:16 UTC 2025","Scroll to top","Scroll","",""
"","2162","Checking event subscriptions on the home page","interactions","Wed Sep 17 12:26:43 UTC 2025","passed","Wed Sep 17 12:26:45 UTC 2025","Home subscription","Subscription","",""
"","2491","Checking remove product from cart","Shopping cart","Wed Sep 17 12:25:25 UTC 2025","passed","Wed Sep 17 12:25:28 UTC 2025","Remove product","Cart operations","",""
