"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3081","User login with correct email and password","User Management","Tue Sep 16 08:25:17 UTC 2025","passed","Tue Sep 16 08:25:20 UTC 2025","Successful authorization","Authorization","",""
"","3654","Checking remove product from cart","Shopping cart","Tue Sep 16 08:25:23 UTC 2025","passed","Tue Sep 16 08:25:27 UTC 2025","Remove product","Cart operations","",""
"","6012","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:25:28 UTC 2025","passed","Tue Sep 16 08:25:34 UTC 2025","Successful checkout","Checkout","",""
"","2748","Search products with a search query: ""top""","Product Catalog","Tue Sep 16 08:25:47 UTC 2025","passed","Tue Sep 16 08:25:49 UTC 2025","TestProductSearch","Product Search","",""
"","1121","User login with wrong email and password","User Management","Tue Sep 16 08:25:22 UTC 2025","passed","Tue Sep 16 08:25:23 UTC 2025","Failed authorization","Authorization","",""
"","1948","Adding a review to a product with an id 1","Product Catalog","Tue Sep 16 08:25:44 UTC 2025","passed","Tue Sep 16 08:25:46 UTC 2025","Add product review","Product Review","",""
"","3454","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 16 08:25:24 UTC 2025","passed","Tue Sep 16 08:25:27 UTC 2025","Add product","Cart operations","",""
"","1944","Check product details with id 1","Product Catalog","Tue Sep 16 08:25:41 UTC 2025","passed","Tue Sep 16 08:25:43 UTC 2025","View product details","Product Details","",""
"","721","Checking event subscriptions on the cart page","interactions","Tue Sep 16 08:25:39 UTC 2025","passed","Tue Sep 16 08:25:39 UTC 2025","Cart subscription","Subscription","",""
"","4211","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Tue Sep 16 08:25:19 UTC 2025","passed","Tue Sep 16 08:25:23 UTC 2025","Add product","Cart operations","",""
"","3282","Correct logout of account","User Management","Tue Sep 16 08:25:17 UTC 2025","passed","Tue Sep 16 08:25:20 UTC 2025","Successful logout","Logout","",""
"","5498","Registration with correct data","User Management","Tue Sep 16 08:25:22 UTC 2025","passed","Tue Sep 16 08:25:28 UTC 2025","Successful registration","Registration","",""
"","7443","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Tue Sep 16 08:25:41 UTC 2025","passed","Tue Sep 16 08:25:48 UTC 2025","TestCheckout","Checkout","",""
"","7461","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:25:35 UTC 2025","passed","Tue Sep 16 08:25:43 UTC 2025","TestCheckout","Checkout","",""
"","1168","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 16 08:25:40 UTC 2025","passed","Tue Sep 16 08:25:41 UTC 2025","Scroll to top","Scroll","",""
"","2091","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 16 08:25:49 UTC 2025","passed","Tue Sep 16 08:25:51 UTC 2025","View product list","Product Listing","",""
"","1521","Checking event subscriptions on the home page","interactions","Tue Sep 16 08:25:44 UTC 2025","passed","Tue Sep 16 08:25:46 UTC 2025","Home subscription","Subscription","",""
"","1799","Checking the success of sending a feedback","interactions","Tue Sep 16 08:25:36 UTC 2025","passed","Tue Sep 16 08:25:38 UTC 2025","Successful feedback","Contact","",""
"","6236","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 16 08:25:29 UTC 2025","passed","Tue Sep 16 08:25:35 UTC 2025","Cart consistent","Cart State","",""
"","1151","Registration with existing email","User Management","Tue Sep 16 08:25:17 UTC 2025","passed","Tue Sep 16 08:25:18 UTC 2025","Failed registration","Registration","",""
"","10737","Registration while checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:25:28 UTC 2025","passed","Tue Sep 16 08:25:39 UTC 2025","TestCheckout","Checkout","",""
