"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7268","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Tue Sep 16 08:55:19 UTC 2025","passed","Tue Sep 16 08:55:26 UTC 2025","TestCheckout","Checkout","",""
"","3721","Checking remove product from cart","Shopping cart","Tue Sep 16 08:55:06 UTC 2025","passed","Tue Sep 16 08:55:09 UTC 2025","Remove product","Cart operations","",""
"","3219","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 16 08:55:09 UTC 2025","passed","Tue Sep 16 08:55:12 UTC 2025","Add product","Cart operations","",""
"","2047","Check product details with id 1","Product Catalog","Tue Sep 16 08:55:29 UTC 2025","passed","Tue Sep 16 08:55:31 UTC 2025","View product details","Product Details","",""
"","1539","Checking the success of sending a feedback","interactions","Tue Sep 16 08:55:24 UTC 2025","passed","Tue Sep 16 08:55:26 UTC 2025","Successful feedback","Contact","",""
"","1471","Checking event subscriptions on the home page","interactions","Tue Sep 16 08:55:26 UTC 2025","passed","Tue Sep 16 08:55:28 UTC 2025","Home subscription","Subscription","",""
"","2231","Search products with a search query: ""top""","Product Catalog","Tue Sep 16 08:55:32 UTC 2025","passed","Tue Sep 16 08:55:34 UTC 2025","TestProductSearch","Product Search","",""
"","1955","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 16 08:55:26 UTC 2025","passed","Tue Sep 16 08:55:28 UTC 2025","Scroll to top","Scroll","",""
"","856","Registration with existing email","User Management","Tue Sep 16 08:54:59 UTC 2025","passed","Tue Sep 16 08:55:00 UTC 2025","Failed registration","Registration","",""
"","2608","Adding a review to a product with an id 1","Product Catalog","Tue Sep 16 08:55:28 UTC 2025","passed","Tue Sep 16 08:55:31 UTC 2025","Add product review","Product Review","",""
"","701","Checking event subscriptions on the cart page","interactions","Tue Sep 16 08:55:27 UTC 2025","passed","Tue Sep 16 08:55:28 UTC 2025","Cart subscription","Subscription","",""
"","1858","User login with wrong email and password","User Management","Tue Sep 16 08:55:03 UTC 2025","passed","Tue Sep 16 08:55:05 UTC 2025","Failed authorization","Authorization","",""
"","10340","Registration while checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:55:12 UTC 2025","passed","Tue Sep 16 08:55:23 UTC 2025","TestCheckout","Checkout","",""
"","6065","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:55:10 UTC 2025","passed","Tue Sep 16 08:55:16 UTC 2025","Successful checkout","Checkout","",""
"","2806","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 16 08:55:29 UTC 2025","passed","Tue Sep 16 08:55:32 UTC 2025","View product list","Product Listing","",""
"","7309","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:55:17 UTC 2025","passed","Tue Sep 16 08:55:25 UTC 2025","TestCheckout","Checkout","",""
"","2918","User login with correct email and password","User Management","Tue Sep 16 08:54:59 UTC 2025","passed","Tue Sep 16 08:55:02 UTC 2025","Successful authorization","Authorization","",""
"","6508","Registration with correct data","User Management","Tue Sep 16 08:55:04 UTC 2025","passed","Tue Sep 16 08:55:10 UTC 2025","Successful registration","Registration","",""
"","3317","Correct logout of account","User Management","Tue Sep 16 08:54:59 UTC 2025","passed","Tue Sep 16 08:55:02 UTC 2025","Successful logout","Logout","",""
"","6305","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Tue Sep 16 08:55:01 UTC 2025","passed","Tue Sep 16 08:55:07 UTC 2025","Add product","Cart operations","",""
"","5712","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 16 08:55:12 UTC 2025","passed","Tue Sep 16 08:55:17 UTC 2025","Cart consistent","Cart State","",""
