"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","969","User login with wrong email and password","User Management","Tue Sep 16 09:23:16 UTC 2025","passed","Tue Sep 16 09:23:17 UTC 2025","Failed authorization","Authorization","",""
"","2340","Correct logout of account","User Management","Tue Sep 16 09:23:12 UTC 2025","passed","Tue Sep 16 09:23:14 UTC 2025","Successful logout","Logout","",""
"","6985","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 09:23:33 UTC 2025","passed","Tue Sep 16 09:23:40 UTC 2025","TestCheckout","Checkout","",""
"","1449","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 16 09:23:41 UTC 2025","passed","Tue Sep 16 09:23:43 UTC 2025","Scroll to top","Scroll","",""
"","3247","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 16 09:23:18 UTC 2025","passed","Tue Sep 16 09:23:21 UTC 2025","Add product","Cart operations","",""
"","1024","Registration with existing email","User Management","Tue Sep 16 09:23:11 UTC 2025","passed","Tue Sep 16 09:23:13 UTC 2025","Failed registration","Registration","",""
"","835","Checking event subscriptions on the cart page","interactions","Tue Sep 16 09:23:33 UTC 2025","passed","Tue Sep 16 09:23:34 UTC 2025","Cart subscription","Subscription","",""
"","5292","Registration with correct data","User Management","Tue Sep 16 09:23:15 UTC 2025","passed","Tue Sep 16 09:23:20 UTC 2025","Successful registration","Registration","",""
"","5679","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 09:23:24 UTC 2025","passed","Tue Sep 16 09:23:30 UTC 2025","Successful checkout","Checkout","",""
"","3522","Search products with a search query: ""top""","Product Catalog","Tue Sep 16 09:23:40 UTC 2025","passed","Tue Sep 16 09:23:43 UTC 2025","TestProductSearch","Product Search","",""
"","2735","User login with correct email and password","User Management","Tue Sep 16 09:23:12 UTC 2025","passed","Tue Sep 16 09:23:15 UTC 2025","Successful authorization","Authorization","",""
"","3474","Checking remove product from cart","Shopping cart","Tue Sep 16 09:23:21 UTC 2025","passed","Tue Sep 16 09:23:25 UTC 2025","Remove product","Cart operations","",""
"","2568","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 16 09:23:37 UTC 2025","passed","Tue Sep 16 09:23:39 UTC 2025","View product list","Product Listing","",""
"","5721","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 16 09:23:17 UTC 2025","passed","Tue Sep 16 09:23:23 UTC 2025","Cart consistent","Cart State","",""
"","3438","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Tue Sep 16 09:23:13 UTC 2025","passed","Tue Sep 16 09:23:17 UTC 2025","Add product","Cart operations","",""
"","1540","Checking the success of sending a feedback","interactions","Tue Sep 16 09:23:31 UTC 2025","passed","Tue Sep 16 09:23:33 UTC 2025","Successful feedback","Contact","",""
"","9770","Registration while checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 09:23:21 UTC 2025","passed","Tue Sep 16 09:23:31 UTC 2025","TestCheckout","Checkout","",""
"","1643","Checking event subscriptions on the home page","interactions","Tue Sep 16 09:23:34 UTC 2025","passed","Tue Sep 16 09:23:36 UTC 2025","Home subscription","Subscription","",""
"","2252","Check product details with id 1","Product Catalog","Tue Sep 16 09:23:34 UTC 2025","passed","Tue Sep 16 09:23:37 UTC 2025","View product details","Product Details","",""
"","6638","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Tue Sep 16 09:23:26 UTC 2025","passed","Tue Sep 16 09:23:33 UTC 2025","TestCheckout","Checkout","",""
"","1548","Adding a review to a product with an id 1","Product Catalog","Tue Sep 16 09:23:37 UTC 2025","passed","Tue Sep 16 09:23:39 UTC 2025","Add product review","Product Review","",""
