"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10284","Registration while checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 10:17:12 UTC 2025","passed","Tue Sep 16 10:17:22 UTC 2025","TestCheckout","Checkout","",""
"","4004","Checking remove product from cart","Shopping cart","Tue Sep 16 10:17:11 UTC 2025","passed","Tue Sep 16 10:17:15 UTC 2025","Remove product","Cart operations","",""
"","4603","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Tue Sep 16 10:17:01 UTC 2025","passed","Tue Sep 16 10:17:06 UTC 2025","Add product","Cart operations","",""
"","5770","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 16 10:17:05 UTC 2025","passed","Tue Sep 16 10:17:11 UTC 2025","Cart consistent","Cart State","",""
"","6997","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Tue Sep 16 10:17:24 UTC 2025","passed","Tue Sep 16 10:17:31 UTC 2025","TestCheckout","Checkout","",""
"","5886","Registration with correct data","User Management","Tue Sep 16 10:17:03 UTC 2025","passed","Tue Sep 16 10:17:09 UTC 2025","Successful registration","Registration","",""
"","1532","Checking the success of sending a feedback","interactions","Tue Sep 16 10:17:20 UTC 2025","passed","Tue Sep 16 10:17:22 UTC 2025","Successful feedback","Contact","",""
"","1164","User login with wrong email and password","User Management","Tue Sep 16 10:17:03 UTC 2025","passed","Tue Sep 16 10:17:05 UTC 2025","Failed authorization","Authorization","",""
"","2842","Check product details with id 1","Product Catalog","Tue Sep 16 10:17:25 UTC 2025","passed","Tue Sep 16 10:17:28 UTC 2025","View product details","Product Details","",""
"","1333","Checking event subscriptions on the home page","interactions","Tue Sep 16 10:17:24 UTC 2025","passed","Tue Sep 16 10:17:26 UTC 2025","Home subscription","Subscription","",""
"","4131","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 16 10:17:07 UTC 2025","passed","Tue Sep 16 10:17:11 UTC 2025","Add product","Cart operations","",""
"","2904","Correct logout of account","User Management","Tue Sep 16 10:16:59 UTC 2025","passed","Tue Sep 16 10:17:02 UTC 2025","Successful logout","Logout","",""
"","1682","Adding a review to a product with an id 1","Product Catalog","Tue Sep 16 10:17:27 UTC 2025","passed","Tue Sep 16 10:17:28 UTC 2025","Add product review","Product Review","",""
"","784","Checking event subscriptions on the cart page","interactions","Tue Sep 16 10:17:22 UTC 2025","passed","Tue Sep 16 10:17:23 UTC 2025","Cart subscription","Subscription","",""
"","2893","Search products with a search query: ""top""","Product Catalog","Tue Sep 16 10:17:29 UTC 2025","passed","Tue Sep 16 10:17:32 UTC 2025","TestProductSearch","Product Search","",""
"","2994","User login with correct email and password","User Management","Tue Sep 16 10:16:59 UTC 2025","passed","Tue Sep 16 10:17:02 UTC 2025","Successful authorization","Authorization","",""
"","1151","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 16 10:17:23 UTC 2025","passed","Tue Sep 16 10:17:24 UTC 2025","Scroll to top","Scroll","",""
"","6492","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 10:17:16 UTC 2025","passed","Tue Sep 16 10:17:23 UTC 2025","TestCheckout","Checkout","",""
"","6380","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 10:17:12 UTC 2025","passed","Tue Sep 16 10:17:19 UTC 2025","Successful checkout","Checkout","",""
"","1033","Registration with existing email","User Management","Tue Sep 16 10:16:59 UTC 2025","passed","Tue Sep 16 10:17:00 UTC 2025","Failed registration","Registration","",""
"","1793","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 16 10:17:32 UTC 2025","passed","Tue Sep 16 10:17:34 UTC 2025","View product list","Product Listing","",""
