"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2107","Checking event subscriptions on the home page","interactions","Tue Sep 30 14:58:02 UTC 2025","passed","Tue Sep 30 14:58:04 UTC 2025","Home subscription","Subscription","",""
"","6643","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 30 14:56:52 UTC 2025","passed","Tue Sep 30 14:56:59 UTC 2025","Cart consistent","Cart State","",""
"","4953","Registration with correct data","User Management","Tue Sep 30 14:56:28 UTC 2025","passed","Tue Sep 30 14:56:33 UTC 2025","Successful registration","Registration","",""
"","3938","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 30 14:58:08 UTC 2025","passed","Tue Sep 30 14:58:12 UTC 2025","View product list","Product Listing","",""
"","1841","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 30 14:57:59 UTC 2025","passed","Tue Sep 30 14:58:01 UTC 2025","Scroll to top","Scroll","",""
"","5616","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 30 14:57:20 UTC 2025","passed","Tue Sep 30 14:57:26 UTC 2025","TestCheckout","Checkout","",""
"","4964","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 30 14:57:01 UTC 2025","passed","Tue Sep 30 14:57:06 UTC 2025","Successful checkout","Checkout","",""
"","1622","Adding a review to a product with an id 1","Product Catalog","Tue Sep 30 14:58:13 UTC 2025","passed","Tue Sep 30 14:58:14 UTC 2025","Add product review","Product Review","",""
"","1109","Checking event subscriptions on the cart page","interactions","Tue Sep 30 14:57:54 UTC 2025","passed","Tue Sep 30 14:57:55 UTC 2025","Cart subscription","Subscription","",""
"","2530","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 30 14:58:10 UTC 2025","passed","Tue Sep 30 14:58:13 UTC 2025","View product list","Product Listing","",""
"","3721","Search products with a search query: ""top""","Product Catalog","Tue Sep 30 14:58:20 UTC 2025","passed","Tue Sep 30 14:58:23 UTC 2025","TestProductSearch","Product Search","",""
"","6764","Registration with correct data","User Management","Tue Sep 30 14:56:35 UTC 2025","passed","Tue Sep 30 14:56:42 UTC 2025","Successful registration","Registration","",""
"","2734","Checking the success of sending a feedback","interactions","Tue Sep 30 14:57:48 UTC 2025","passed","Tue Sep 30 14:57:50 UTC 2025","Successful feedback","Contact","",""
"","4496","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 30 14:56:52 UTC 2025","passed","Tue Sep 30 14:56:56 UTC 2025","Add product","Cart operations","",""
"","1641","Registration with existing email","User Management","Tue Sep 30 14:56:47 UTC 2025","passed","Tue Sep 30 14:56:49 UTC 2025","Failed registration","Registration","",""
"","4376","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 30 14:56:58 UTC 2025","passed","Tue Sep 30 14:57:02 UTC 2025","Add product","Cart operations","",""
