"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1340","User login with wrong email and password","User Management","Wed Sep 17 12:50:42 UTC 2025","passed","Wed Sep 17 12:50:43 UTC 2025","Failed authorization","Authorization","",""
"","5000","Correct logout of account","User Management","Wed Sep 17 12:50:50 UTC 2025","passed","Wed Sep 17 12:50:55 UTC 2025","Successful logout","Logout","",""
"","2313","Correct logout of account","User Management","Wed Sep 17 12:50:44 UTC 2025","passed","Wed Sep 17 12:50:46 UTC 2025","Successful logout","Logout","",""
"","15511","Registration while checkout with products with id: [1, 2]","Order Processing","Wed Sep 17 12:51:55 UTC 2025","passed","Wed Sep 17 12:52:11 UTC 2025","TestCheckout","Checkout","",""
"","5822","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Wed Sep 17 12:51:47 UTC 2025","passed","Wed Sep 17 12:51:53 UTC 2025","TestCheckout","Checkout","",""
"","3070","Checking event subscriptions on the home page","interactions","Wed Sep 17 12:52:51 UTC 2025","passed","Wed Sep 17 12:52:54 UTC 2025","Home subscription","Subscription","",""
"","2707","Checking the success of sending a feedback","interactions","Wed Sep 17 12:52:17 UTC 2025","passed","Wed Sep 17 12:52:20 UTC 2025","Successful feedback","Contact","",""
"","5197","Checking the identity of the cart before and after logging","Shopping cart","Wed Sep 17 12:51:23 UTC 2025","passed","Wed Sep 17 12:51:29 UTC 2025","Cart consistent","Cart State","",""
"","8947","Checking the identity of the cart before and after logging","Shopping cart","Wed Sep 17 12:51:31 UTC 2025","passed","Wed Sep 17 12:51:40 UTC 2025","Cart consistent","Cart State","",""
"","5110","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Wed Sep 17 12:51:20 UTC 2025","passed","Wed Sep 17 12:51:26 UTC 2025","Add product","Cart operations","",""
"","1328","Checking event subscriptions on the cart page","interactions","Wed Sep 17 12:52:33 UTC 2025","passed","Wed Sep 17 12:52:35 UTC 2025","Cart subscription","Subscription","",""
"","1799","Registration with existing email","User Management","Wed Sep 17 12:51:08 UTC 2025","passed","Wed Sep 17 12:51:10 UTC 2025","Failed registration","Registration","",""
